NOME,PRATO,DESCRICAO,ENDERECO,TELEFONE,IMG_URL,LATITUDE,LONGITUDE,id
Arcos Bar,Panela da Diversidade,"Acém cozido com ervas finas, acompanhado com batata rústica.","RUA DA BAHIA, 1144 - CENTRO , Belo Horizonte, MG, Brasil",31984411161,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15051259/arcos_pratodadiversidade_bh_2025_rodneycosta_unibh-7624-scaled.jpg,-19.91725,-43.9354089,5016
Avalanche Espeteria,Milão Maluco,"Ossobuco cozido ao molho tradicional, acompanhado com purê de batata e farofinha da casa.","RUA JOAO SAMAHA, 676 - SAO JOAO BATISTA , Belo Horizonte, MG, Brasil",31998990146,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19140742/avalanche_milaomaluco_bh_2025_rodneycosta_unibh-8764-scaled.jpg,-19.8207173,-43.9672339,6709
Bar Bambú,Camarão que dorme?,Batata recheada com strogonoff de camarão.,"RUA DIVISA NOVA, 670 - SALGADO FILHO , Belo Horizonte, MG, Brasil",3130521883,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15051202/barbambu_camaraoquedorme_bh_2025_fernandaoliveira_unibh-8355-scaled.jpg,-19.9440127,-43.9840632,8896
Bar da Cíntia,Língua bêbada,"Língua marinada na cerveja Caracu, cheiro-verde, mandioca cozida na manteiga de garrafa.","RUA PASTOR RUI FRANCO, 257 - SAO JOAO BATISTA , Belo Horizonte, MG, Brasil",3136469725,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19142858/bardacinthia_linguabeba_bh_2025_rodneycosta_unibh-8675-scaled.jpg,-19.8168676,-43.9694756,8976
Bar da Lu,Barril Mineiro Sô,"Ossobuco marinado com ervas finas e vinho tinto, acompanhado de polenta coberta com queijo parmesão e muçarela gratinada, crispy de mostarda e torresminho pururuca.","RUA SENHORA DA CONCEICAO, 981 - CACHOEIRINHA , Belo Horizonte, MG, Brasil",31999327787,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19143046/bardalu_barrilmineiroso_bh_2025_rodneycosta_unibh-8734-scaled.jpg,-19.8873629,-43.948076,9124
Bar do Nelson,Bolinho de prata,Bolinho de feijoada na cama de couve crispy.,"RUA VICENTE RISOLA, 1000 - SANTA INES , Belo Horizonte, MG, Brasil",31996726908,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19145234/bardonelson_bolinhodeprata_bh_2025_amandacantanhede_unibh-9036-scaled.jpg,-19.8916887,-43.9083866,8271
Bar do Primo,Custelinha di Buteco,Costelinha com batata e queijo ao molho branco.,"RUA ONOFRE FIRMINO DA SILVA, 26 - SAO GABRIEL , Belo Horizonte, MG, Brasil",31995323260,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19145355/primo_costelinhadebuteco_bh_2025_isaquerodrigues_unibh-8526-scaled.jpg,-19.8599963,-43.9198854,3390
Bar do Regis,Trilhas de Minas,"Almôndegas ao molho de tomates, servidas com polenta.","RUA GAVEA, 422 - NOVA SUISSA , Belo Horizonte, MG, Brasil","(31) 971158894
(31) 3653-8071",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050928/bardoregis_trilhademinas_bh_2025_amandacantanhede_unibh-8270-scaled.jpg,-19.9388489,-43.9752421,3539
Bar dos Meninos,Bodas de prata,"Costelinha suína, marinada em vinho tinto, servida com mostarda em folhas, acompanhada de creme de batata.","RUA SANTA CEIA, 184 - JARDIM SAO JOSE , Belo Horizonte, MG, Brasil",31983803201,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19145725/bardosmeninos_bodasdeprata_bh_2025_rodneycosta_unibh-8218-scaled.jpg,-19.9026157,-43.9942378,3113
Bar Du Du,Porco sem vergonha,"Picadinho de carne de porco ao molho, acompanhado de um creme de batata.","RUA JOSE TAVARES FILHO, 371 - CDI JATOBA , Belo Horizonte, MG, Brasil","(31) 3646-1551
(31) 98717-0450",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/16083316/bardudu_porcosemvergonha_bh_2025_isaquerodrigues_unibh-8899-scaled.jpg,-20.0047677,-44.0445764,2851
